name,code,taxId,vendorType,status,address,city,state,zip,country,phone,email,contactName,contactPhone,contactEmail,defaultTerms,defaultPaymentMethod,is1099,form1099Type,insuranceRequired,bondRequired,entityId,notes
Sonoran Concrete Supply,V-001,86-2345678,supplier,active,1450 S 51st Ave,Phoenix,AZ,85043,US,602-555-1001,orders@sonoranconcrete.com,Maria Lopez,602-555-1002,maria@sonoranconcrete.com,Net 30,ach,false,,true,false,DRC-AZ,Ready-mix and precast supplier — 10yr relationship
Copper State Rebar Inc,V-002,86-3456789,supplier,active,2200 W Buckeye Rd,Phoenix,AZ,85009,US,602-555-1010,sales@copperstate rebar.com,James Chen,602-555-1011,jchen@copperstaterebar.com,Net 30,check,false,,true,false,DRC-AZ,Rebar fabrication and delivery
Cactus Electrical Services,V-003,86-4567890,subcontractor,active,8901 N 7th St,Phoenix,AZ,85020,US,602-555-1020,bids@cactuselectric.com,David Morales,602-555-1021,david@cactuselectric.com,Net 45,ach,true,NEC,true,true,DRC-AZ,Licensed electrical subcontractor — commercial / industrial
Valley Mechanical LLC,V-004,86-5678901,subcontractor,active,3340 E McDowell Rd,Phoenix,AZ,85008,US,602-555-1030,estimating@valleymech.com,Sarah Kim,602-555-1031,skim@valleymech.com,Net 45,ach,true,NEC,true,true,DRC-AZ,HVAC and plumbing subcontractor
Pima Earthworks,V-005,86-6789012,subcontractor,active,5500 W Ina Rd,Tucson,AZ,85743,US,520-555-1040,ops@pimaearth.com,Roberto Gutierrez,520-555-1041,rgutierrez@pimaearth.com,Net 30,check,true,NEC,true,false,DRC-AZ,Grading / excavation / utilities — heavy civil
Rio Grande Steel Erectors,V-006,85-1111111,subcontractor,active,4500 Montano Rd NW,Albuquerque,NM,87120,US,505-555-2001,bids@riograndesteel.com,Antonio Padilla,505-555-2002,apadilla@riograndesteel.com,Net 45,ach,true,NEC,true,true,DRC-NM-ABQ,Structural steel erection — NM certified MBE
Sandia Drywall & Finishes,V-007,85-2222222,subcontractor,active,900 San Mateo Blvd NE,Albuquerque,NM,87108,US,505-555-2010,quotes@sandiadrywall.com,Linda Baca,505-555-2011,lbaca@sandiadrywall.com,Net 30,check,true,NEC,true,false,DRC-NM-ABQ,Drywall / acoustical ceilings / painting
Enchanted Masonry Co,V-008,85-3333333,subcontractor,active,200 Sandoval St,Santa Fe,NM,87501,US,505-555-3001,info@enchantedmasonry.com,Miguel Trujillo,505-555-3002,miguel@enchantedmasonry.com,Net 30,check,true,NEC,true,false,DRC-NM-SF,Adobe and masonry restoration — historic certified
Desert Testing Labs,V-009,86-7890123,professional,active,1020 E Indian School Rd,Phoenix,AZ,85014,US,602-555-1050,schedule@deserttesting.com,Dr. Karen Patel,602-555-1051,kpatel@deserttesting.com,Net 15,ach,true,NEC,false,false,DRC,Soils / concrete / asphalt testing and inspection
Southwest Lumber & Supply,V-010,86-8901234,supplier,active,6750 W Van Buren St,Phoenix,AZ,85043,US,602-555-1060,orders@swlumber.com,Tom Bradley,602-555-1061,tbradley@swlumber.com,Net 30,check,false,,false,false,DRC-AZ,Lumber / forming / hardware supply
Builders Insurance Group,V-011,86-9012345,professional,active,2901 N Central Ave Suite 1200,Phoenix,AZ,85012,US,602-555-1070,renewals@buildersinsurance.com,Rachel Moore,602-555-1071,rmoore@buildersinsurance.com,Net 10,ach,false,,false,false,DRC,Surety bonds / GL / WC / builders risk policies
Caterpillar Financial,V-012,37-1234567,supplier,active,2120 West End Ave,Nashville,TN,37203,US,800-555-4000,payments@catfinancial.com,Account Services,800-555-4001,leasing@catfinancial.com,Net 30,ach,false,,false,false,DRC-EQ,Equipment leases and parts
Sunbelt Rentals,V-013,56-2345678,supplier,active,2341 W Camelback Rd,Phoenix,AZ,85015,US,602-555-1080,phoenix@sunbeltrentals.com,Jeff Walker,602-555-1081,jwalker@sunbeltrentals.com,Net 30,ach,false,,false,false,DRC-EQ,Supplemental equipment and tool rental
Martinez Trucking LLC,V-014,86-0123456,subcontractor,active,890 S 27th Ave,Phoenix,AZ,85009,US,602-555-1090,dispatch@martineztrucking.com,Carlos Martinez,602-555-1091,carlos@martineztrucking.com,Net 15,check,true,NEC,true,false,DRC-AZ,Dump trucks / water trucks / haul-off
NM DOT Materials Lab,V-015,85-0000001,professional,active,7500 Pan American Fwy NE,Albuquerque,NM,87109,US,505-555-2020,testing@nmdot.state.nm.us,State Lab Director,505-555-2021,lab@nmdot.state.nm.us,Net 30,check,false,,false,false,DRC-NM-ABQ,State-required materials testing for DOT projects
