name,code,taxId,vendorType,status,address,city,state,zip,country,phone,email,contactName,contactPhone,contactEmail,defaultTerms,defaultPaymentMethod,is1099,form1099Type,insuranceRequired,bondRequired,entityId,notes
First Solar Inc,V-001,77-0521650,supplier,active,350 W Washington St Suite 600,Tempe,AZ,85281,US,602-555-6001,orders@firstsolar.com,Supply Chain Team,602-555-6002,supply@firstsolar.com,Net 60,wire,false,,true,false,SGE-SOL-W,Series 7 CdTe thin-film modules — 20yr master supply agreement
Vestas Wind Systems,V-002,DK-10403782,supplier,active,2105 N 1st St,Portland,OR,97209,US,503-555-6010,us.orders@vestas.com,Tyler Banks,503-555-6011,tbanks@vestas.com,Net 60,wire,false,,true,false,SGE-WIND,V162-6.2 MW turbine supply — towers / nacelles / blades / controllers
SMA Solar Technology,V-003,DE-HRB4294,supplier,active,8010 S County Trail,Rocklin,CA,95677,US,916-555-6020,na.sales@sma-america.com,Lisa Muller,916-555-6021,lmuller@sma.com,Net 45,wire,false,,true,false,SGE-SOL-W,Central / string inverters — Sunny Central and Tripower series
CATL (Contemporary Amperex),V-004,CN-91350702MA346RC,supplier,active,2600 W El Camino Real,Mountain View,CA,94040,US,650-555-6030,na.sales@catl.com,Wei Zhang,650-555-6031,wzhang@catl.com,Net 90,wire,false,,true,false,SGE-BESS,LFP battery cells and modules — 4hr duration BESS systems
Quanta Services,V-005,76-0410265,subcontractor,active,2800 Post Oak Blvd Suite 2600,Houston,TX,77056,US,713-555-6040,bids@quantaservices.com,Mark Rodriguez,713-555-6041,mrodriguez@quantaservices.com,Net 45,ach,false,,true,true,SGE-TRANS,HV transmission line construction and substation EPC
McCarthy Building Companies,V-006,43-0988520,subcontractor,active,1341 W Mockingbird Ln,Dallas,TX,75247,US,214-555-6050,solar@mccarthy.com,Ashley Cooper,214-555-6051,acooper@mccarthy.com,Net 45,ach,false,,true,true,SGE-SOL-E,Solar EPC contractor — pile driving / racking / module install / commissioning
Mortenson Construction,V-007,41-0905590,subcontractor,active,700 Meadow Ln N,Minneapolis,MN,55422,US,763-555-6060,wind@mortenson.com,Erik Larsen,763-555-6061,elarsen@mortenson.com,Net 45,ach,false,,true,true,SGE-WIND,Wind farm EPC — foundations / erection / collection / substation
Array Technologies,V-008,85-3093091,supplier,active,3901 Midway Pl NE,Albuquerque,NM,87109,US,505-555-6070,orders@arraytechinc.com,Daniel Ortiz,505-555-6071,dortiz@arraytechinc.com,Net 45,ach,false,,true,false,SGE-SOL-W,Single-axis solar trackers — DuraTrack HZ v3
Burns & McDonnell,V-009,44-0463467,professional,active,9400 Ward Pkwy,Kansas City,MO,64114,US,816-555-6080,proposals@burnsmcd.com,Jennifer Walsh,816-555-6081,jwalsh@burnsmcd.com,Net 30,ach,true,NEC,true,false,SGE,Engineering / design / interconnection studies / environmental
Nextracker,V-010,88-1234567,supplier,active,6200 America Center Dr,San Jose,CA,95002,US,408-555-6090,sales@nextracker.com,Kevin Chen,408-555-6091,kchen@nextracker.com,Net 45,ach,false,,true,false,SGE-SOL-E,NX Horizon single-axis trackers — eastern US projects
AECOM,V-011,61-1088522,professional,active,300 S Grand Ave,Los Angeles,CA,90071,US,213-555-6100,energy@aecom.com,Patricia Gomez,213-555-6101,pgomez@aecom.com,Net 30,ach,true,NEC,true,false,SGE-DEV,Environmental impact assessments / permitting / land surveys
Schweitzer Engineering Labs,V-012,91-1277256,supplier,active,2350 NE Hopkins Ct,Pullman,WA,99163,US,509-555-6110,orders@selinc.com,Tech Sales,509-555-6112,sales@selinc.com,Net 30,ach,false,,false,false,SGE-TRANS,Protective relays / RTUs / SCADA / communication equipment
IEC Electronics Mexico,V-013,MX-RFC-IEC180901,subcontractor,active,Blvd. Colosio 499 Parque Industrial,Hermosillo,Sonora,83299,MX,+52-662-555-6120,proyectos@iecmexico.com,Fernando Salazar,+52-662-555-6121,fsalazar@iecmexico.com,Net 45,wire,false,,true,true,SGE-MEX,Solar EPC contractor — Mexico operations
Acciona Energia Canada,V-014,CA-BN-891234567,subcontractor,active,439 University Ave Suite 1800,Toronto,ON,M5G 1Y8,CA,416-555-6130,canada@acciona.com,Liam O'Neill,416-555-6131,loneill@acciona.ca,Net 45,wire,false,,true,true,SGE-CAN,Wind farm EPC and O&M — Alberta and Ontario
Marsh McLennan Energy,V-015,36-2668272,professional,active,1166 Avenue of the Americas,New York,NY,10036,US,212-555-6140,energy.risk@marsh.com,Steven Blake,212-555-6141,sblake@marsh.com,Net 10,wire,false,,false,false,SGE,Insurance broker — property / BI / liability / D&O / cyber for all assets
