equipmentNumber,description,year,make,model,serialNumber,vin,licensePlate,category,status,entityId,purchaseDate,purchasePrice,currentValue,salvageValue,usefulLifeMonths,depreciationMethod,assignedJobId,meterReading,meterUnit,locationDescription
SGE-SOL-INV-001,Central Inverter 4.6 MW,2024,SMA,Sunny Central 4600UP,SMA46UP24A001,,N/A,generation,active,SGE-SOL-W,2024-08-15,185000,168000,15000,240,straight_line,SGE-SOL-001,8200,hours,Sonoran Flats Solar — Inverter Pad Station A1
SGE-SOL-INV-002,Central Inverter 4.6 MW,2024,SMA,Sunny Central 4600UP,SMA46UP24A002,,N/A,generation,active,SGE-SOL-W,2024-08-15,185000,168000,15000,240,straight_line,SGE-SOL-001,8200,hours,Sonoran Flats Solar — Inverter Pad Station A2
SGE-SOL-TRK-001,Single-Axis Tracker System (Block A — 2000 units),2024,Array Technologies,DuraTrack HZ v3,ATI-DT3-24-BLK-A,,N/A,generation,active,SGE-SOL-W,2024-07-01,6200000,5800000,400000,300,straight_line,SGE-SOL-001,0,N/A,Sonoran Flats Solar — Block A (200 MW section)
SGE-WIND-WTG-001,Wind Turbine Generator 6.2 MW,2024,Vestas,V162-6.2 MW,VES162-24-KS-001,,N/A,generation,active,SGE-WIND,2024-06-15,4200000,3900000,250000,300,straight_line,SGE-WIND-001,6800,hours,Great Plains Wind — Turbine Position T01
SGE-WIND-WTG-002,Wind Turbine Generator 6.2 MW,2024,Vestas,V162-6.2 MW,VES162-24-KS-002,,N/A,generation,active,SGE-WIND,2024-06-20,4200000,3900000,250000,300,straight_line,SGE-WIND-001,6750,hours,Great Plains Wind — Turbine Position T02
SGE-WIND-WTG-003,Wind Turbine Generator 6.2 MW,2024,Vestas,V162-6.2 MW,VES162-24-KS-003,,N/A,generation,active,SGE-WIND,2024-06-25,4200000,3900000,250000,300,straight_line,SGE-WIND-001,6700,hours,Great Plains Wind — Turbine Position T03
SGE-BESS-SYS-001,BESS Container 5 MW / 20 MWh,2025,CATL,EnerC+ 20ft Container,CATL-EC-25-PHX-001,,N/A,storage,active,SGE-BESS,2025-07-01,2800000,2750000,150000,240,straight_line,SGE-BESS-001,0,cycles,Phoenix Grid Battery — Row 1 Position 1
SGE-BESS-SYS-002,BESS Container 5 MW / 20 MWh,2025,CATL,EnerC+ 20ft Container,CATL-EC-25-PHX-002,,N/A,storage,active,SGE-BESS,2025-07-01,2800000,2750000,150000,240,straight_line,SGE-BESS-001,0,cycles,Phoenix Grid Battery — Row 1 Position 2
SGE-TRANS-XFR-001,345/138kV Autotransformer 500 MVA,2024,Siemens Energy,TLNT 500/345,SE-TLNT-24-AZ-001,,N/A,transmission,active,SGE-TRANS,2024-11-01,4500000,4200000,300000,360,straight_line,SGE-TRANS-001,0,N/A,SunLink 345kV — AZ Substation (Pinal County)
SGE-TRANS-XFR-002,345/138kV Autotransformer 500 MVA,2025,Siemens Energy,TLNT 500/345,SE-TLNT-25-NV-001,,N/A,transmission,active,SGE-TRANS,2025-03-15,4500000,4400000,300000,360,straight_line,SGE-TRANS-001,0,N/A,SunLink 345kV — NV Substation (Clark County)
SGE-VEH-001,Service Truck — Solar O&M,2024,Ford,F-350 4x4 Service Body,1FD8W3GT0REA11111,1FD8W3GT0REA11111,AZ-SGE-101,vehicle,active,SGE-FS,2024-02-15,78000,68000,15000,84,straight_line,,32000,miles,Sonoran Flats Solar — O&M building
SGE-VEH-002,Service Truck — Wind O&M,2024,Ford,F-550 Crane Truck,1FDUF5HT8REA22222,1FDUF5HT8REA22222,KS-SGE-201,vehicle,active,SGE-FS,2024-03-01,112000,98000,18000,84,straight_line,,28000,miles,Great Plains Wind — O&M building
SGE-VEH-003,Drone — Thermal Inspection,2024,DJI,Matrice 350 RTK + H20T,DJI-M350-24-003,,,support_equipment,active,SGE-FS,2024-01-10,18500,15000,2000,48,straight_line,,420,flights,Chandler FS HQ — drone fleet
SGE-VEH-004,ATV — Site Patrol,2024,Polaris,Ranger XP 1000,POL-RXP-24-004,,AZ-ATV-001,vehicle,active,SGE-FS,2024-04-20,28000,24000,4000,60,straight_line,,4800,miles,Sonoran Flats Solar — perimeter patrol
SGE-BLD-001,O&M Control Building — Sonoran Flats,2024,Custom,40x60 Pre-Engineered Metal,N/A,,N/A,building,active,SGE-SOL-W,2024-06-01,380000,360000,40000,360,straight_line,SGE-SOL-001,0,N/A,Sonoran Flats Solar — operations and control center
SGE-BLD-002,Warehouse — Spare Parts (Chandler),2022,Custom,8000 SF Climate Controlled,N/A,,N/A,building,active,SGE-FS,2022-09-15,650000,580000,80000,360,straight_line,,0,N/A,7200 W Chandler Blvd — spare parts and tool storage
SGE-BLD-003,O&M Building — Great Plains Wind,2024,Custom,30x50 Pre-Engineered Metal,N/A,,N/A,building,active,SGE-WIND,2024-04-15,320000,305000,35000,360,straight_line,SGE-WIND-001,0,N/A,Great Plains Wind — crew quarters and parts storage
SGE-BLD-004,Substation Control House — AZ,2024,Custom,20x30 Precast Concrete,N/A,,N/A,building,active,SGE-TRANS,2024-10-01,280000,270000,30000,480,straight_line,SGE-TRANS-001,0,N/A,SunLink 345kV — AZ substation control building
