equipmentNumber,description,year,make,model,serialNumber,vin,licensePlate,category,status,entityId,purchaseDate,purchasePrice,currentValue,salvageValue,usefulLifeMonths,depreciationMethod,assignedJobId,meterReading,meterUnit,locationDescription
EQ-001,Hydraulic Excavator 36-ton,2022,Caterpillar,336 GC,CAT0336GC22A01234,,AZ-HVY-001,heavy_equipment,active,DRC-EQ,2022-04-15,385000,310000,45000,120,straight_line,J-2024-001,4820,hours,I-17 Widening — MP 235 cut section
EQ-002,Hydraulic Excavator 20-ton,2023,Caterpillar,320 GC,CAT0320GC23B05678,,AZ-HVY-002,heavy_equipment,active,DRC-EQ,2023-02-10,265000,235000,30000,120,straight_line,J-2024-003,2100,hours,Maricopa County EOC — foundation excavation
EQ-003,Wheel Loader 3.5 yd,2021,Caterpillar,950 GC,CAT0950GC21C09012,,AZ-HVY-003,heavy_equipment,active,DRC-EQ,2021-07-20,310000,225000,35000,120,straight_line,J-2024-001,5900,hours,I-17 Widening — aggregate stockpile
EQ-004,Motor Grader 14ft blade,2020,John Deere,672GP,JD672GP20D03456,,AZ-HVY-004,heavy_equipment,active,DRC-EQ,2020-09-01,340000,220000,40000,120,straight_line,J-2024-001,6400,hours,I-17 Widening — subgrade grading
EQ-005,Crawler Dozer D6,2022,Caterpillar,D6 XE,CATD6XE22E07890,,AZ-HVY-005,heavy_equipment,active,DRC-EQ,2022-11-30,420000,345000,50000,120,straight_line,J-2025-010,3200,hours,Horizon Resort — mass grading
EQ-006,Backhoe Loader,2023,John Deere,310SL,JD310SL23F11234,1JD310SL2NF011234,AZ-HVY-006,heavy_equipment,active,DRC-EQ,2023-05-18,125000,108000,15000,120,straight_line,J-2025-004,1800,hours,Desert Canyon Elementary — utility trenching
EQ-007,Rough Terrain Crane 40-ton,2021,Tadano,GR-400EX,TAD400EX21G15678,,AZ-HVY-007,heavy_equipment,active,DRC-EQ,2021-03-25,480000,360000,55000,120,straight_line,J-2025-005,3100,hours,Pinnacle Tower — steel erection
EQ-008,Skid Steer Loader,2024,Bobcat,S770,BOB770S24H19012,,AZ-HVY-008,light_equipment,active,DRC-EQ,2024-01-08,72000,65000,8000,84,straight_line,J-2024-002,950,hours,Phoenix Courts — demo and material moving
EQ-009,Concrete Pump Truck 36m,2020,Putzmeister,BSF 36-4.16H,PUTZ3620I23456,1PMP36BF4LF023456,AZ-HVY-009,heavy_equipment,active,DRC-EQ,2020-06-14,550000,380000,65000,120,straight_line,J-2025-005,4500,hours,Pinnacle Tower — concrete placement
EQ-010,Roller Compactor — Vibratory,2023,Hamm,H13i,HAMM13I23J27890,,AZ-HVY-010,heavy_equipment,active,DRC-EQ,2023-08-22,185000,162000,20000,120,straight_line,J-2024-001,2400,hours,I-17 Widening — base course compaction
EQ-011,Pickup Truck — Superintendent,2024,Ford,F-250 Super Duty,1FTBF2B64REC31234,1FTBF2B64REC31234,AZ-VEH-101,vehicle,active,DRC-EQ,2024-03-01,62000,55000,12000,72,straight_line,,28500,miles,Phoenix yard — VP Operations vehicle
EQ-012,Pickup Truck — PM,2024,Ford,F-150,1FTEW1EP5RFA42345,1FTEW1EP5RFA42345,AZ-VEH-102,vehicle,active,DRC-EQ,2024-03-01,55000,49000,10000,72,straight_line,,24000,miles,Scottsdale USD job site
EQ-013,Pickup Truck — PM,2023,Chevrolet,Silverado 2500HD,1GC4YLEY1PF53456,1GC4YLEY1PF53456,NM-VEH-201,vehicle,active,DRC-EQ,2023-06-15,58000,48000,11000,72,straight_line,,31000,miles,Albuquerque — NM-550 bridge site
EQ-014,Water Truck 4000 gal,2019,International,HV507,INTL507W19K64567,,AZ-HVY-011,heavy_equipment,active,DRC-EQ,2019-04-20,145000,85000,18000,120,straight_line,J-2024-001,7200,hours,I-17 Widening — dust control
EQ-015,Generator 200kW Towable,2022,Multiquip,DCA-220SSJU4I,MQ220SS22L75678,,AZ-GEN-001,support_equipment,active,DRC-EQ,2022-12-01,95000,78000,10000,120,straight_line,J-2024-003,3800,hours,Maricopa County EOC — temp power
