vendorId,jobId,number,description,scope,contractAmount,retentionPct,startDate,endDate,status,approvedChangeOrders,revisedAmount,billedToDate,paidToDate,retainageHeld,entityId
V-003,J-2025-005,SC-001,Pinnacle Tower — Electrical,Complete electrical rough-in and finish for 22-story office tower. Service entrance / distribution / lighting / fire alarm / low voltage / generator connection,14200000,10,2025-06-01,2027-06-30,active,350000,14550000,1746000,1571400,174600,DRC-AZ
V-004,J-2025-005,SC-002,Pinnacle Tower — HVAC & Plumbing,Full mechanical scope — HVAC / plumbing / fire protection. 4-pipe fan coil system / VAV / chilled water plant,16800000,10,2025-06-01,2027-08-31,active,0,16800000,2016000,1814400,201600,DRC-AZ
V-003,J-2025-004,SC-003,Desert Canyon Elementary — Electrical,K-8 school electrical — service / distribution / lighting / fire alarm / PA / data / security cameras,2850000,10,2025-04-01,2026-10-31,active,85000,2935000,528300,475470,52830,DRC-AZ
V-004,J-2025-004,SC-004,Desert Canyon Elementary — Mechanical,School HVAC and plumbing — packaged rooftop units / ductwork / DDC controls / domestic water / sanitary / storm,3200000,10,2025-04-01,2026-10-31,active,0,3200000,576000,518400,57600,DRC-AZ
V-005,J-2024-001,SC-005,I-17 Widening — Earthwork,Mass grading / subgrade prep / embankment / drainage structures for 13-mile highway widening,5400000,5,2024-07-01,2025-12-31,active,220000,5620000,4496000,4271200,224800,DRC-AZ
V-006,J-2024-006,SC-006,NM-550 Bridge — Steel Erection,Structural steel fabrication and erection for two bridge replacements. Includes bearings / expansion joints / shear studs,2100000,5,2024-12-01,2025-10-31,active,0,2100000,1155000,1097250,57750,DRC-NM-ABQ
V-007,J-2025-007,SC-007,UNM Anderson — Drywall & Ceilings,Drywall / metal stud framing / acoustical tile ceilings / painting / wall protection for 30000 SF addition,1450000,10,2025-06-01,2026-08-31,active,0,1450000,319000,287100,31900,DRC-NM-ABQ
V-008,J-2025-008,SC-008,Santa Fe Railyard — Masonry,Adobe walls / stone veneer / decorative masonry / fireplace construction for mixed-use Phase III,2800000,10,2025-07-01,2026-09-30,active,0,2800000,280000,252000,28000,DRC-NM-SF
V-003,J-2024-009,SC-009,Presbyterian OR Suite — Electrical,Medical-grade electrical for 8 OR suites — isolated power / emergency power / medical gas alarm / nurse call,1680000,10,2024-12-01,2025-12-31,active,95000,1775000,1207000,1086300,120700,DRC-NM-ABQ
V-004,J-2024-009,SC-010,Presbyterian OR Suite — Mechanical,Medical HVAC — 100% outside air / HEPA filtration / positive pressure / medical gas / med vacuum / plumbing,2200000,10,2024-12-01,2025-12-31,active,140000,2340000,1591200,1432080,159120,DRC-NM-ABQ
V-014,J-2024-001,SC-011,I-17 Widening — Trucking & Haul,Dump trucks / water trucks for earthwork and paving operations — 18 months,1850000,0,2024-07-01,2025-12-31,active,110000,1960000,1568000,1568000,0,DRC-AZ
V-005,J-2025-010,SC-012,Horizon Resort — Earthwork & Utilities,Mass grading / storm drainage / domestic water / sanitary sewer / fire water for 35-acre resort site,4200000,10,2025-07-01,2026-06-30,active,0,4200000,420000,378000,42000,DRC-AZ
