number,name,type,status,customerId,entityId,description,contractAmount,startDate,endDate,ownerName,address,city,state,zip,retentionPct,percentComplete,totalBudget,totalActualCost,totalCommitted,totalBilled
SGE-SOL-001,Sonoran Flats Solar Farm — 400 MW,lump_sum,active,C-001,SGE-SOL-W,400 MW DC single-axis tracker solar farm on 2800 acres in Maricopa County. 25-year PPA with APS at $24/MWh,520000000,2024-03-01,2026-06-30,Arizona Public Service,400 N 5th St,Phoenix,AZ,85004,5,58,460000000,266800000,85000000,301600000
SGE-SOL-002,Silver Bell Solar + Storage — 250 MW / 1 GWh,lump_sum,active,C-003,SGE-SOL-W,250 MW solar + 250 MW / 1 GWh 4-hour BESS co-located in Pima County. PPA with TEP,410000000,2024-06-15,2026-09-30,Tucson Electric Power,88 E Broadway,Tucson,AZ,85701,5,42,365000000,153300000,95000000,172200000
SGE-SOL-003,Mojave Gateway Solar — 350 MW,lump_sum,active,C-004,SGE-SOL-W,350 MW utility-scale solar on BLM land in Clark County NV. 20-year PPA with NV Energy,445000000,2024-09-01,2026-12-31,NV Energy,6226 W Sahara Ave,Las Vegas,NV,89146,5,35,395000000,138250000,110000000,155750000
SGE-SOL-004,Lone Star Solar I — 200 MW,lump_sum,active,C-006,SGE-SOL-E,200 MW single-axis tracker solar in Pecos County TX. ERCOT merchant + Microsoft PPA hedge,280000000,2025-01-15,2026-10-31,ERCOT Market,2705 West Lake Dr,Taylor,TX,76574,5,22,248000000,54560000,78000000,61600000
SGE-SOL-005,Palmetto Sun Solar — 180 MW,lump_sum,active,C-007,SGE-SOL-E,180 MW solar farm in Lancaster County SC. 15-year PPA with Duke Energy Carolinas,235000000,2025-03-01,2027-01-31,Duke Energy,526 S Church St,Charlotte,NC,28202,5,15,208000000,31200000,72000000,35250000
SGE-WIND-001,Great Plains Wind Farm — 500 MW,lump_sum,active,C-009,SGE-WIND,500 MW onshore wind farm in Ellis County KS. 72 Vestas V162-6.2 MW turbines. SPP interconnection,680000000,2024-01-15,2026-03-31,Southwest Power Pool,201 Worthen Dr,Little Rock,AR,72223,5,65,605000000,393250000,92000000,442000000
SGE-WIND-002,Prairie Ridge Wind — 300 MW,lump_sum,active,C-010,SGE-WIND,300 MW onshore wind farm in McLean County IL. 48 Vestas V162. MISO interconnection + Amazon PPA,420000000,2024-07-01,2026-08-31,MISO,720 City Center Dr,Carmel,IN,46032,5,48,374000000,179520000,68000000,201600000
SGE-WIND-003,Alberta Chinook Wind — 200 MW,lump_sum,active,C-011,SGE-CAN,200 MW wind farm in Pincher Creek area Alberta. 32 Vestas V162. AESO capacity market contract,340000000,2025-02-01,2027-03-31,AESO,2500 4th Ave SW,Calgary,AB,T2P 0K3,5,12,302000000,36240000,115000000,40800000
SGE-TRANS-001,SunLink 345kV Transmission — AZ-NV,lump_sum,active,C-001,SGE-TRANS,85-mile 345kV double-circuit transmission line from Pinal County AZ to Clark County NV with 2 substations,380000000,2024-04-01,2027-06-30,Arizona Public Service,400 N 5th St,Phoenix,AZ,85004,10,38,340000000,129200000,88000000,144400000
SGE-BESS-001,Phoenix Grid Battery — 200 MW / 800 MWh,lump_sum,active,C-002,SGE-BESS,200 MW / 800 MWh standalone BESS at SRP Santan substation. 4-hour LFP system for peak shaving and ancillary,240000000,2025-04-01,2026-12-31,Salt River Project,1521 N Project Dr,Tempe,AZ,85281,5,18,214000000,38520000,92000000,43200000
SGE-SOL-006,Sonora Solar I — 300 MW,lump_sum,active,C-013,SGE-MEX,300 MW solar farm in Puerto Libertad Sonora Mexico. CFE 20-year PPA in MXN,360000000,2025-06-01,2027-09-30,CFE,Av. Paseo de la Reforma 164,Mexico City,CDMX,06600,5,8,320000000,25600000,120000000,28800000
SGE-DEV-001,Ontario Solar Pipeline — 500 MW (Development),cost_plus,active,C-012,SGE-DEV,Development of 500 MW solar portfolio across 4 sites in southern Ontario. Permitting and interconnection phase,15000000,2025-01-01,2026-06-30,Ontario IESO,1600-120 Adelaide St W,Toronto,ON,M5H 1T1,0,30,15000000,4500000,3000000,4500000
