vendorId,jobId,number,description,scope,contractAmount,retentionPct,startDate,endDate,status,approvedChangeOrders,revisedAmount,billedToDate,paidToDate,retainageHeld,entityId
V-006,SGE-SOL-001,SC-001,Sonoran Flats — Solar EPC,Full EPC for 400 MW solar — pile driving / tracker assembly / module install / inverter pads / AC collection / commissioning,285000000,5,2024-06-01,2026-03-31,active,4200000,289200000,167736000,159349200,8386800,SGE-SOL-W
V-008,SGE-SOL-001,SC-002,Sonoran Flats — Tracker Supply & Install,Supply and install 85000 Array Technologies DuraTrack HZ v3 single-axis trackers across 2800 acres,62000000,5,2024-05-01,2025-10-31,active,0,62000000,52700000,50065000,2635000,SGE-SOL-W
V-006,SGE-SOL-002,SC-003,Silver Bell — Solar + BESS EPC,EPC for 250 MW solar co-located with 1 GWh BESS. Solar field + battery island + interconnection,260000000,5,2024-09-01,2026-06-30,active,3500000,263500000,110670000,105136500,5533500,SGE-SOL-W
V-007,SGE-WIND-001,SC-004,Great Plains Wind — Full EPC,EPC for 500 MW wind farm — 72 foundations / crane pads / erection / 34.5kV collection / O&M building / commissioning,385000000,5,2024-04-01,2025-12-31,active,8500000,393500000,255775000,242986250,12788750,SGE-WIND
V-007,SGE-WIND-002,SC-005,Prairie Ridge Wind — Full EPC,EPC for 300 MW wind farm — 48 turbine foundations / erection / collection system / substation expansion,248000000,5,2024-10-01,2026-05-31,active,2200000,250200000,120096000,114091200,6004800,SGE-WIND
V-005,SGE-TRANS-001,SC-006,SunLink 345kV — Transmission Line,Construct 85 miles of 345kV double-circuit transmission line — towers / conductors / OPGW / access roads,220000000,10,2024-08-01,2027-01-31,active,6800000,226800000,86184000,77565600,8618400,SGE-TRANS
V-005,SGE-TRANS-001,SC-007,SunLink 345kV — Substations (2),Build two 345/138kV substations — foundations / bus work / breakers / transformers / protection / SCADA,95000000,10,2024-08-01,2026-12-31,active,3200000,98200000,37316000,33584400,3731600,SGE-TRANS
V-010,SGE-SOL-004,SC-008,Lone Star Solar — Tracker Supply,Nextracker NX Horizon tracker supply and installation — 200 MW Pecos County TX,38000000,5,2025-04-01,2026-03-31,active,0,38000000,8360000,7942000,418000,SGE-SOL-E
V-006,SGE-SOL-005,SC-009,Palmetto Sun — Solar EPC,Full EPC for 180 MW solar — Lancaster County SC. Module / tracker / inverter / collection / substation,145000000,5,2025-06-01,2026-11-30,active,0,145000000,21750000,20662500,1087500,SGE-SOL-E
V-014,SGE-WIND-003,SC-010,Alberta Chinook — Wind EPC,EPC for 200 MW wind farm in Pincher Creek Alberta — 32 turbine locations / collection / substation / commissioning,195000000,5,2025-05-01,2027-01-31,active,0,195000000,23400000,22230000,1170000,SGE-CAN
V-013,SGE-SOL-006,SC-011,Sonora Solar I — EPC Mexico,Full EPC for 300 MW solar in Puerto Libertad Sonora — tracker / module / inverter / substation / transmission tap,210000000,5,2025-09-01,2027-06-30,active,0,210000000,16800000,15960000,840000,SGE-MEX
