number,name,type,status,customerId,entityId,description,contractAmount,startDate,endDate,ownerName,address,city,state,zip,retentionPct,percentComplete,totalBudget,totalActualCost,totalCommitted,totalBilled
J-2024-001,I-17 Widening — Anthem to Black Canyon City,lump_sum,active,C-001,DRC-AZ,4-lane widening of I-17 from Anthem Way to Black Canyon City (MP 229–242). Includes median barrier / drainage / paving / signage,28500000,2024-06-15,2026-09-30,Arizona Department of Transportation,206 S 17th Ave,Phoenix,AZ,85007,5,62,25200000,15624000,4800000,17670000
J-2024-002,Phoenix Municipal Courts Renovation,lump_sum,active,C-002,DRC-AZ,Complete interior renovation of the Phoenix Municipal Courts building — 65000 SF. Structural / MEP / finishes / ADA compliance,12400000,2024-09-01,2026-03-31,City of Phoenix,300 W Washington St,Phoenix,AZ,85003,10,45,11000000,4950000,2800000,5580000
J-2024-003,Maricopa County Emergency Operations Center,lump_sum,active,C-003,DRC-AZ,New 42000 SF emergency operations center — hardened structure / generator / communications / security systems,18700000,2024-11-01,2026-08-15,Maricopa County,301 W Jefferson St,Phoenix,AZ,85003,10,30,16500000,4950000,5400000,5610000
J-2025-004,Scottsdale USD — Desert Canyon Elementary,lump_sum,active,C-004,DRC-AZ,New K-8 school — 78000 SF. 32 classrooms / gym / library / admin / playground / parking,24000000,2025-01-15,2026-12-31,Scottsdale USD,3811 N 44th St,Scottsdale,AZ,85251,10,18,21200000,3816000,8200000,4320000
J-2025-005,Pinnacle Tower — Camelback Corridor,lump_sum,active,C-005,DRC-AZ,22-story Class A office tower — 380000 SF. Core and shell plus tenant improvement allowances,86000000,2025-03-01,2027-09-30,Pinnacle Development Group,2425 E Camelback Rd,Phoenix,AZ,85016,10,12,76000000,9120000,28000000,10320000
J-2024-006,NM-550 Bridge Replacement — San Ysidro,lump_sum,active,C-006,DRC-NM-ABQ,Replace two structurally deficient bridges on NM-550 over Jemez River. Steel girder / cast-in-place deck / approach work,9800000,2024-08-01,2026-04-30,NM Department of Transportation,1120 Cerrillos Rd,Santa Fe,NM,87504,5,55,8700000,4785000,1600000,5390000
J-2025-007,UNM — Anderson School of Management Expansion,lump_sum,active,C-007,DRC-NM-ABQ,30000 SF addition to the Anderson School including classrooms / auditorium / faculty offices / student commons,15600000,2025-02-01,2026-10-31,University of New Mexico,1 University of New Mexico,Albuquerque,NM,87131,10,22,13800000,3036000,4200000,3432000
J-2025-008,Santa Fe Railyard Mixed-Use Phase III,lump_sum,active,C-008,DRC-NM-SF,44000 SF mixed-use — ground floor retail / 36 residential units above. Adobe-style with modern systems,21500000,2025-04-01,2027-01-31,City of Santa Fe,200 Lincoln Ave,Santa Fe,NM,87501,10,10,19000000,1900000,7500000,2150000
J-2024-009,Presbyterian Rust Medical Center — OR Suite,lump_sum,active,C-009,DRC-NM-ABQ,Renovation of 8 operating suites and PACU — 22000 SF. Infection control / HEPA / medical gas / ICRA compliance,11200000,2024-10-01,2026-02-28,Presbyterian Healthcare Services,9521 San Mateo Blvd NE,Albuquerque,NM,87113,10,68,9900000,6732000,1200000,7616000
J-2025-010,Horizon Resort & Spa — North Scottsdale,lump_sum,active,C-010,DRC-AZ,Luxury 220-room resort — 185000 SF hotel / spa / restaurant / pool complex / conference center / landscaping,92000000,2025-06-01,2028-03-31,Horizon Hospitality Partners,7014 E Camelback Rd,Scottsdale,AZ,85251,10,5,81000000,4050000,18000000,4600000
